,Reverse-Proxy-Services,Market-Share
0,Cloudflare,71.69
1,Akamai,8.19
2,Amazon CloudFront,6.67
3,Incapsula,2.99
4,Sucuri,2.83
5,Fastly,2.8
6,Level3,2.33
7,Verizon Digital Media,0.41
8,Netlify,0.39
9,DOSarrest,0.24
10,Quantil,0.21
11,Stack Path,0.21
12,Azion,0.17
13,Myracloud,0.15
14,CacheFly,0.14
15,Dosarrest,0.14
16,Fireblade,0.13
17,CDNetworks,0.05
18,ChinaCache,0.04
19,DN77,0.03
20,ChinaNetCenter,0.03
21,Limelight,0.02
22,Highwinds,0.02
23,Instart Logic,0.02
24,Grey Wizard,0.02
25,Airee,0.02
26,BitGravity,0.02
27,Clever Cloud,0.01
28,NGENIX,0.01
29,Beluga,0.01
30,CDNvideo,0.0
31,Backtory,0.0
32,Microsoft Azure,0.0
33,Turbobyte,0.0
34,CDNsun,0.0
35,KeyCDN,0.0
36,ArvanCloud,0.0
